fire_id,cause_id,agency_id,time_id,collection_method,acres_burned,shape_area,shape_length,duration_days
16385,1,3,904,,17903.75,125802595.398438,68328.9075558,
16386,14,2,7353,,13956.84,82596807.7070313,48589.4079564175,
16387,1,3,7351,,12226.63,88310058.5625,45489.5645365056,
16388,14,1,7354,,11573.62,72356318.1445313,58283.7733751329,
16389,14,1,7354,,8234.211,56303165.0234375,37676.559822578,
16390,14,1,7355,,8197.543,47446995.15625,47694.2927828199,
16391,14,1,7351,,6516.866,41873753.5546875,41801.591982749,
16392,1,3,7351,,5847.599,41866773.515625,37064.4652936631,
16393,14,1,7352,,5551.796,36610478.3085938,33458.3176289139,
16394,14,1,7356,,4994.367,30966338.9257813,28988.3530637693,
16395,14,1,7354,,4231.692,29479432.84375,33851.1483335665,
16396,14,2,7357,,4216.224,25025060.34375,61069.4806892445,
16397,14,1,7354,,4156.979,28889669.3710938,27669.2116950972,
16398,14,3,904,,4065.611,28511321.4921875,36986.1140657773,
16399,14,1,7351,,3549.829,25032858.4140625,21996.8972261824,
16400,1,3,904,,3214.393,22613973.7929688,23491.0288917265,
16401,14,1,7354,,3155.612,20888517.40625,19463.7034879643,
16402,14,1,7358,,2364.466,14059555.4179688,25095.4241599788,
16403,14,1,7359,,1766.238,10286696.9960938,24594.9317926134,
16404,14,1,7354,,1759.319,12240585.7382813,16985.7742695475,
16405,14,2,7360,,1606.53,9392965.61328125,12671.266609589,
16406,14,1,7361,,1530.833,9290890.08203125,11967.0946994768,
16407,14,1,7354,,1497.844,10328807.3710938,15387.8833364565,
16408,9,3,7362,8.0,1486.237,10092088.7773438,16616.6462213191,0.0
16409,14,1,7363,,1479.428,9797511.8515625,14014.3244573297,
16410,14,1,7354,,1399.859,9284730.5234375,12688.1048492098,
16411,14,1,7364,,1368.396,8902979.3671875,16068.4946428872,
16412,14,1,7365,,1291.23,8113948.3125,15841.8639735122,
16413,14,1,7352,,1259.338,8627431.4609375,16806.4706787053,
16414,14,1,7366,,1220.969,7463016.06640625,14891.1829489516,
16415,14,2,7352,,1148.102,6773805.39453125,14799.0682285071,
16416,1,3,7351,,1134.345,8107640.6953125,14483.7571340025,
16417,9,1,7367,,1126.778,7817783.828125,15378.5984745449,
16418,14,1,7368,,1115.521,7521097.109375,11659.0797651664,
16419,14,3,7369,,1050.919,6231284.34765625,12112.7157222167,
16420,14,1,7354,,1015.819,5837320.81640625,16333.9539054071,
16421,9,3,904,,950.3784,5522049.41015625,17326.1566603018,
16422,9,3,7370,,924.6611,6405911.85546875,13648.4841126121,
16423,1,3,7351,,910.9965,6682214.984375,12693.9250279868,
16424,14,1,7371,,889.4997,6204811.94140625,11345.9748147819,
16425,14,1,7372,,853.076,5640885.6953125,13030.0315975448,
16426,14,1,7365,,813.9527,4978669.08203125,11286.0446599747,
16427,14,1,7356,,813.5613,5418792.0703125,9951.28429751862,
16428,2,3,7373,,810.6488,5741722.51953125,10251.8048951703,
16429,14,1,7351,,749.276,5017625.9375,10016.0941040359,
16430,9,3,904,,745.6094,5260454.34375,10375.5423796577,
16431,9,3,7351,,729.2473,5328491.0390625,11205.5818705836,
16432,14,1,7365,,696.442,4622451.9375,8709.79548900634,
16433,14,1,7374,,677.1738,4200043.87890625,15857.4955084896,
16434,14,1,7354,,662.7383,4437716.1796875,9777.77601929706,
16435,14,1,7352,,651.6682,3754808.1796875,14302.5285538151,
16436,14,1,7363,,637.0066,4473864.41796875,10485.3241363809,
16437,14,1,7375,,600.937,3546849.015625,7894.7427749446,
16438,14,1,7376,,594.0298,4280851.7421875,8462.49779592343,
16439,14,1,7377,,577.9862,3887115.55078125,12362.1921085303,
16440,14,1,7350,,568.6545,3968571.2421875,8920.82683583311,
16441,14,1,7356,,555.4193,3300413.4140625,10164.1264088561,
16442,14,1,7378,,551.4299,3693155.8828125,14832.2022763506,
16443,14,2,7379,,537.801,3192755.2890625,8392.83290981728,
16444,14,1,7380,,531.478,3071338.01171875,9386.08298747431,
16445,14,1,7380,,530.5697,3275460.54296875,8551.46804627704,
16446,14,2,7381,,522.1279,3108735.16796875,10188.6120515185,
16447,14,1,904,,516.3215,3014760.81640625,7147.98324972827,
16448,9,1,7382,,515.3041,3717599.1171875,15223.0661555792,
16449,14,1,7383,,515.1079,3539089.390625,14182.806632383,
16450,14,1,7351,,498.0716,3316716.23828125,9373.67605934568,
16451,14,2,7384,,488.6449,2889204.27734375,8427.65670496221,
16452,9,2,7385,,488.3912,2928811.46484375,7117.30639898796,
16453,14,1,7386,,486.4349,2848960.95703125,7905.61570642305,
16454,14,3,904,,477.3401,2828786.01953125,7750.46441451461,
16455,9,3,7387,,472.9557,3445655.0625,9842.79011829301,
16456,14,1,7365,,462.994,3147177.5546875,8283.49252432269,
16457,14,1,7388,,452.6021,2746014.62109375,7305.15907070433,
16458,1,3,904,,447.3064,3154636.8125,8382.55043392201,
16459,9,3,7389,,446.2364,3223409.98828125,8480.34687657485,
16460,14,1,7390,,445.6259,2999000.93359375,7364.01622145309,
16461,14,1,7352,,430.7035,2826699.984375,6574.63259826128,
16462,14,3,904,,417.7593,2702273.0703125,7716.0325436657,
16463,9,3,904,8.0,417.7583,2702266.73046875,7716.03781603773,
16464,9,1,7351,,410.3961,2352136.234375,7528.82888521249,
16465,14,1,7391,,409.3126,2731108.10546875,7946.56725554676,
16466,14,2,7388,,408.2532,2424709.2734375,9713.12821798478,
16467,9,3,904,,408.0753,2802378.08984375,8568.78074307711,
16468,3,3,7389,,388.396,2755347.16796875,8808.43885828486,
16469,14,1,7392,,374.8499,2593258.5859375,7224.56009058811,
16470,14,3,904,,368.3435,2331058.94140625,8785.35975533689,
16471,14,1,7379,,366.4095,2292338.3125,7527.85520759696,
16472,14,1,7393,,357.4878,2074362.21484375,5639.55270529223,
16473,14,1,7371,,350.5723,2447981.91796875,8056.28734716213,
